from_lc_id,to_lc_id,link_edges_count,link_traffic
2,42,31,1054
11,332,1,15
9,24,102,7693
1362,2,1,14
4,315,11,329
4,78,1,24
5,78,1,13
10,78,1,10
248,5,6,103
46,8,15,281
4,336,1,13
729,7,2,53
10,237,1,10
3,237,18,580
467,3,2,66
326,10,1,44
19,25,162,9623
399,7,1,13
16,9,24,1371
19,130,1,104
3,347,1,22
33,12,40,3319
237,7,1,20
33,21,47,2720
326,3,9,283
10,84,23,474
84,5,11,280
10,207,1,12
4,207,1,13
7,354,1,13
2,44,60,1969
638,2,3,49
5,197,5,350
4,197,1,25
136,3,14,232
13,358,1,17
7,358,2,45
27,7,80,1862
106,10,1,15
31,1,54,1158
5,360,2,49
44,17,36,1420
822,3,3,99
559,3,1,13
578,10,1,46
13,33,67,2394
3,369,1,25
74,4,57,2918
16,13,101,4825
7,371,1,37
3,371,5,135
19,15,65,2345
1069,4,2,40
887,7,2,35
3,233,60,4315
6,47,21,839
2,215,1,60
405,3,12,161
3,378,18,319
887,5,1,14
25,33,36,1259
13,16,210,10440
3,380,19,596
5,382,1,11
17,16,164,7320
0,16,40,1155
16,15,119,4466
6,256,1,13
3,387,1,11
4,391,2,34
1,53,13,453
309,3,1,27
161,3,1,18
588,10,3,191
22,33,30,904
3,394,2,34
39,21,58,4882
46,21,49,1251
3,398,6,89
3,399,5,183
21,20,73,2444
4,403,1,39
42,13,24,1026
7,124,15,565
3,124,20,692
1064,3,1,11
3,296,17,613
1150,7,1,10
42,2,30,473
3,411,1,16
306,4,8,555
34,8,62,1985
3,415,9,180
44,21,39,1627
800,2,1,94
5,47,58,2554
4,419,1,16
3,420,2,43
21,24,126,5232
84,7,33,1596
128,7,79,6117
790,3,3,76
44,7,143,6649
3,424,2,174
14,21,61,1482
24,39,63,3289
214,3,6,99
44,25,24,1699
0,19,155,5297
3,156,104,5238
4,432,1,49
5,54,37,2879
7,54,29,1126
5,435,2,156
25,12,132,6564
3,437,1,59
3,438,5,169
9,20,33,1315
54,6,27,697
1,108,8,192
25,21,90,3852
20,21,43,1098
31,4,139,3923
231,3,6,127
3,440,2,28
8,39,104,4414
59,7,2,63
946,7,2,51
7,447,1,16
16,24,50,2760
12,16,133,4121
19,39,6,307
4,61,44,2142
43,2,2,32
3,450,2,63
758,3,1,14
0,20,28,639
47,8,19,303
1494,3,1,14
4,460,5,113
25,16,89,4871
4,462,1,12
2,31,49,1987
47,24,23,1161
3,205,8,290
7,205,20,681
1017,4,6,119
146,4,2,34
1011,7,1,11
3,470,4,525
24,21,122,6018
554,5,4,52
729,3,1,20
17,27,7,145
285,5,2,44
17,20,144,7579
39,9,81,2882
6,42,2,51
21,25,55,3089
9,31,13,337
182,1,5,190
4,474,1,36
406,7,1,13
7,476,1,19
33,24,35,2122
2,478,1,19
21,46,16,496
3,326,18,2144
63,7,50,2885
4,480,4,94
27,2,20,493
2,482,1,32
4,484,1,195
27,1,35,874
10,31,33,717
61,6,5,82
31,8,15,344
7,489,1,17
3,490,1,43
7,84,25,1565
2,156,1,33
953,3,4,94
7,492,4,87
391,5,1,11
9,15,83,5727
1037,3,1,72
2,130,30,1135
3,130,21,579
4,500,5,370
3,375,2,34
108,4,24,1469
1094,4,3,63
133,4,6,346
3,506,2,30
742,4,2,38
1120,3,5,185
2,509,1,19
3,511,3,94
108,7,27,1229
3,512,3,49
4,513,1,20
1340,3,1,13
13,39,38,3117
25,34,25,1483
27,5,13,239
3,416,6,160
14,8,114,4043
315,4,6,692
416,2,1,12
33,25,21,532
44,14,13,466
4,518,1,203
10,521,2,29
5,521,1,22
985,4,1,36
3,524,3,161
84,10,31,729
47,11,9,425
20,8,55,2308
3,528,4,804
116,7,10,335
3,315,7,100
4,533,3,80
4,534,4,129
7,534,2,30
418,5,2,95
108,8,4,102
27,21,45,1409
8,44,5,81
112,3,23,867
4,545,1,13
3,547,4,122
861,10,3,45
4,380,3,440
123,13,2,22
1,44,60,2842
624,5,4,112
33,16,25,468
345,3,1,19
4,492,1,48
339,10,2,69
133,8,1,17
8,31,25,680
1197,4,2,90
233,10,6,101
4,266,17,427
5,266,4,220
4,553,1,56
20,24,36,1933
116,5,10,155
469,3,1,11
3,556,2,197
4,556,1,23
5,556,1,16
10,557,1,13
0,44,12,682
7,560,2,89
42,1,34,940
19,14,5,98
3,564,4,128
3,565,2,38
61,5,14,326
21,39,26,1005
12,44,117,6795
638,4,4,65
2,46,77,3925
3,571,1,94
1480,4,1,22
1205,7,1,164
16,12,92,3705
19,24,92,4614
34,9,19,4730
9,14,5,224
15,54,3,515
3,54,15,488
4,579,5,668
3,581,2,29
129,3,10,248
3,582,1,177
10,583,1,10
44,15,58,3508
33,0,18,553
339,11,1,17
3,589,5,75
4,133,6,190
9,16,21,629
3,551,4,137
5,551,1,13
259,7,14,224
3,499,2,89
3,596,1,25
676,4,4,90
4,598,8,389
3,599,1,14
7,88,1,51
21,61,1,188
1246,3,1,105
298,4,8,734
33,11,47,2105
7,607,1,10
3,43,52,1534
9,33,11,726
22,25,66,2202
380,3,2,177
1392,4,1,27
5,38,5,151
46,0,13,363
1,233,1,50
7,233,31,1140
908,7,5,182
1290,7,1,11
7,612,1,32
4,123,31,2772
39,24,30,972
14,19,8,224
34,15,2,32
306,13,1,14
9,44,6,390
42,12,7,175
7,586,2,44
1,586,1,14
1120,1,1,34
205,1,7,194
63,1,18,1171
2,289,1,28
0,47,10,237
7,525,2,44
5,525,1,10
10,224,4,100
3,122,1,47
10,122,2,27
17,122,1,26
5,122,2,47
7,122,2,29
4,122,9,200
33,15,20,620
16,17,88,3584
130,11,1,13
14,16,14,468
1120,4,2,267
34,7,47,1360
39,11,24,1053
130,4,11,439
3,522,6,112
5,298,14,428
4,628,4,108
7,108,39,1318
1,632,3,82
108,9,18,729
3,145,1,10
34,4,31,3464
224,10,1,21
1,42,35,1110
11,39,35,1085
5,638,11,358
114,3,1,54
112,4,15,990
7,642,6,120
11,608,1,21
20,15,44,3904
3,644,1,14
0,25,28,472
1321,3,4,142
3,585,3,69
21,34,23,563
14,34,1,31
5,650,4,209
7,650,1,62
3,651,2,59
1570,4,1,13
39,19,4,363
25,19,124,5874
3,660,6,103
22,47,24,908
3,662,5,68
7,662,1,13
3,666,1,16
205,8,2,41
34,21,34,696
4,670,1,62
15,47,5,209
7,673,2,29
3,673,2,109
27,4,22,584
7,674,1,23
3,678,2,21
4,679,2,66
169,10,2,26
5,34,28,666
7,309,3,64
10,128,5,132
298,3,6,122
206,7,2,33
963,4,2,31
105,4,1,25
3,688,5,97
3,600,2,48
38,1,3,80
5,598,6,84
46,11,9,185
7,181,5,56
4,233,22,1151
3,85,1,56
7,85,1,25
10,85,1,10
7,466,2,40
3,224,6,156
3,389,15,487
11,389,1,16
3,305,12,490
7,305,6,98
3,63,4,174
1028,3,6,71
405,1,1,13
4,259,4,94
4,237,5,362
1,31,41,1174
7,450,1,35
7,693,1,10
852,4,1,10
7,342,4,88
4,55,4,51
27,9,57,1162
5,31,170,7294
3,696,1,22
3,697,6,482
5,703,1,14
1,703,1,31
293,7,3,132
251,5,5,74
1374,4,2,162
13,205,7,203
5,42,63,2246
3,704,2,227
1104,3,3,38
3,706,8,251
5,175,2,47
15,44,37,2523
69,10,2,64
20,14,12,250
3,709,2,65
34,11,5,101
361,17,1,19
10,46,46,1954
164,3,3,55
1233,5,2,43
7,250,1,27
130,2,25,2360
20,33,6,140
4,714,1,14
21,47,8,251
42,16,4,231
4,130,12,923
4,721,1,13
676,5,4,104
2,722,2,61
123,3,6,175
1315,4,1,14
3,53,18,502
4,53,1,11
3,732,1,11
237,3,4,53
20,11,150,5677
7,735,1,11
8,27,23,423
205,5,3,87
804,7,4,208
275,3,9,176
20,46,14,550
54,1,35,2486
557,7,1,13
908,2,1,249
3,275,5,115
13,63,17,605
11,63,4,65
46,63,1,40
61,2,5,2136
46,6,45,2743
4,148,3,61
3,148,5,268
4,742,3,82
10,171,4,923
4,750,2,31
379,4,2,76
31,10,29,763
0,34,10,334
458,3,9,132
5,202,1,11
133,3,2,26
3,761,1,13
46,33,7,227
3,729,9,262
3,51,6,207
2,51,1,11
7,51,4,136
4,51,4,113
16,14,4,245
42,8,13,478
156,2,1,25
757,3,5,126
42,22,6,599
1017,3,8,1149
188,7,3,89
10,293,1,24
11,293,1,21
7,293,6,120
5,293,2,29
4,293,2,22
3,768,5,186
233,4,18,735
7,769,1,33
1502,3,1,11
128,5,29,622
3,771,3,48
3,772,1,11
5,84,14,683
1,84,3,99
11,84,5,139
6,84,5,223
451,3,5,100
44,16,3,41
7,204,1,10
54,20,3,80
9,34,14,3166
51,4,3,61
108,2,18,1372
7,53,5,239
10,53,7,188
5,785,1,14
15,39,12,688
108,10,6,106
11,74,1,16
3,788,2,155
5,30,7,136
7,30,8,240
3,790,4,156
358,4,4,115
8,46,13,468
10,130,4,56
24,31,2,29
7,374,8,161
4,523,2,24
61,7,14,323
3,76,11,164
13,34,17,565
840,7,2,30
42,10,8,141
22,20,38,1251
108,1,8,141
393,4,1,12
380,7,4,93
160,7,28,979
500,4,2,30
3,807,1,32
3,817,1,17
3,103,9,295
7,580,1,22
3,580,1,17
38,10,2,20
2,819,1,72
3,691,1,20
1497,3,1,13
4,366,3,50
638,14,1,12
7,372,2,146
4,372,3,391
3,822,3,108
34,6,9,187
1314,4,1,188
54,13,2,30
1296,3,4,51
4,827,1,11
84,4,17,1018
519,4,1,10
16,21,22,540
2,125,1,49
356,10,1,23
1,829,1,59
130,3,9,175
10,298,2,102
61,3,23,534
67,3,8,248
5,74,1,17
4,834,1,30
291,7,5,137
3,171,2,437
58,10,1,146
5,624,9,241
1361,4,1,32
7,435,11,455
3,264,5,93
1438,7,1,193
54,11,12,392
44,9,3,133
3,61,33,702
2,212,1,12
5,212,1,21
257,5,1,19
20,25,24,1293
360,7,2,77
3,842,4,123
100,13,1,81
7,325,6,138
10,844,1,10
1362,22,1,21
247,10,1,31
7,845,1,40
3,845,1,38
1025,3,1,18
7,847,2,40
24,44,7,336
3,849,2,65
308,5,4,68
3,92,9,208
8,92,1,10
4,852,4,139
3,853,1,42
204,7,3,60
3,855,1,33
19,34,2,29
4,442,5,112
5,442,3,54
9,442,1,31
7,442,6,109
14,25,19,1059
267,10,1,11
694,10,2,26
244,3,8,389
1642,3,1,21
7,862,1,11
3,459,1,12
42,15,3,78
4,573,1,26
878,3,2,24
7,870,1,12
3,804,14,579
44,24,11,1036
66,7,10,171
5,874,4,156
3,588,7,407
7,879,1,22
3,879,2,25
83,7,11,191
3,134,1,35
47,21,6,83
5,882,1,26
4,883,1,90
3,606,1,20
7,206,2,217
4,116,7,1077
7,231,2,27
7,74,23,532
7,888,1,452
11,9,33,2874
117,3,1,25
10,468,1,14
42,17,15,696
244,10,1,42
181,7,1,13
10,891,1,10
5,417,3,59
3,892,1,25
558,5,1,11
4,803,1,10
3,358,7,200
7,61,18,315
3,894,2,67
3,746,1,94
130,7,12,198
3,405,15,349
400,4,6,77
11,54,7,114
2,54,9,307
3,828,2,40
204,6,2,33
3,630,3,102
4,188,30,885
34,47,1,11
8,47,19,542
7,196,4,136
3,434,1,54
82,3,24,794
4,905,3,320
3,905,2,37
3,291,8,335
7,911,1,29
4,912,1,36
7,912,1,32
1362,4,5,158
7,232,2,37
4,914,2,21
19,33,15,274
3,915,10,473
1504,3,1,124
1127,5,1,50
1,810,1,11
3,919,2,64
977,4,2,89
1634,3,1,16
3,856,3,101
3,924,1,22
683,7,1,63
354,2,1,152
182,7,14,283
7,314,2,32
11,27,4,48
7,774,6,132
3,929,1,12
1092,3,2,40
119,11,1,11
5,932,1,14
857,4,2,42
244,7,11,631
4,933,1,11
233,6,4,60
3,240,19,693
378,7,1,24
1557,3,3,66
3,738,5,106
76,7,18,356
25,42,1,52
730,7,3,48
129,8,1,35
113,7,3,128
523,7,2,39
10,27,20,427
339,5,8,222
253,3,2,29
93,1,1,61
388,5,2,39
31,22,3,39
588,3,5,272
3,953,7,167
1378,3,2,59
3,325,18,709
203,10,1,110
3,140,4,166
130,22,1,34
168,1,1,13
3,955,1,15
13,76,2,32
3,372,3,55
7,869,1,11
7,958,1,43
3,917,2,21
4,150,8,1017
5,762,1,10
3,93,3,152
512,3,2,38
3,323,14,258
24,14,24,10561
185,4,1,12
1508,7,2,42
240,3,8,447
47,33,3,99
699,3,2,25
279,4,2,39
